Structure	none	Missing	Alpha helix	Beta bridge	Beta ladder	3/10 helix	5-helix	H-bonded turn	Bend
4o48	5	0	12	0	15	0	0	5	3
1b57	8	0	40	0	0	0	0	3	1
1qq2	14	0	16	1	13	0	0	4	8
1dth	5	0	2	0	5	4	0	3	0
1m7p	21	0	19	2	9	3	0	6	5
1ukw	7	0	68	2	0	3	0	0	1
2raj	6	0	96	0	2	0	0	7	4
2p53	8	0	24	1	0	1	0	3	8
5rfd	23	0	12	4	22	0	0	10	3
1ifu	1	0	0	1	10	4	0	3	0
3wx4	5	0	8	0	23	1	0	4	2
1hg2	7	0	37	0	0	3	0	1	6
3ib7	32	0	23	4	45	6	0	11	20
1nmz	3	0	31	0	0	3	0	6	2
2rl2	16	0	11	2	17	1	0	6	7
1a72	18	0	14	0	12	3	0	8	8
1bkz	5	0	0	0	22	0	0	4	2
4cvt	15	0	36	0	0	0	0	4	2
2xz2	5	0	10	0	0	0	0	2	0
1cpj	10	0	9	2	10	3	0	5	4
3tgs	12	0	0	0	6	0	0	0	0
6cso	6	0	0	2	8	3	0	4	6
3ulh	10	0	8	0	22	0	0	4	2
1pzw	8	0	30	1	3	0	0	3	4
3gi4	9	0	4	0	23	0	0	10	5
1a4b	7	0	10	0	1	0	0	8	5
1eye	0	0	0	0	0	0	0	0	0
19hc	26	0	18	1	1	0	0	9	14
1h0c	28	0	48	0	3	4	0	4	8
1b7e	0	0	0	0	0	0	0	0	0
3bac	15	0	25	3	22	0	0	5	7
1d0q	7	0	4	0	0	3	0	2	1
1juv	2	0	15	0	1	3	0	1	0
3zof	27	0	8	7	53	3	0	20	10
1i49	2	0	86	0	0	0	0	5	0
4z5z	18	0	28	6	1	12	0	21	10
1btm	19	0	27	2	10	0	0	3	6
2pih	7	0	56	2	0	0	0	3	0
7d83	2	0	16	0	12	0	0	3	1
1gv3	5	0	19	0	3	3	7	5	3
5bj4	7	0	4	0	0	0	0	1	0
4p16	14	0	30	0	38	0	0	6	3
1at0	3	0	0	0	19	0	0	3	5
1gpr	3	0	4	2	2	3	0	5	8
5hbi	2	0	38	0	0	2	0	3	0
4cwd	31	0	56	3	31	9	0	23	17
4fgw	10	0	39	0	7	0	5	6	3
2imt	3	0	11	0	0	0	0	0	3
4wpe	16	0	133	2	0	0	0	3	3
1mi8	3	0	0	0	9	3	0	4	0
1m6d	7	0	6	0	8	0	0	0	2
3naq	27	0	51	1	4	6	0	18	14
4yzg	0	0	1	0	18	0	0	4	0
1g99	23	0	60	0	0	3	0	12	15
4rfp	6	0	12	3	0	3	0	9	5
3r2v	6	0	7	0	1	0	0	3	3
2i4z	1	0	43	0	0	0	0	4	1
2p09	5	0	15	0	14	0	0	3	5
3u2g	11	0	0	4	17	0	0	11	1
3w5z	4	0	8	1	5	0	0	2	1
2hqv	0	0	0	0	0	0	0	0	0
1bdo	9	0	0	0	13	0	0	4	2
1uuf	8	0	5	0	9	3	0	3	2
1p6o	13	0	38	0	1	0	0	9	4
1oi2	2	0	12	0	1	2	0	6	2
6ftq	8	0	1	0	6	0	0	2	1
3cxk	7	0	9	0	0	0	0	2	2
1bbh	5	0	32	0	0	3	0	1	1
1asu	15	0	19	0	13	0	0	6	11
1c8t	11	0	6	0	5	0	0	3	9
3ot2	7	0	12	0	12	0	0	6	1
1alu	0	0	0	0	0	0	0	0	0
1ge7	4	0	13	0	0	0	0	1	1
2vtk	1	0	26	0	0	1	5	0	2
1m38	11	0	12	0	5	4	0	6	7
4cmd	20	0	19	1	24	3	0	17	11
1f05	4	0	31	0	0	3	0	3	0
4zvl	20	0	26	2	1	8	8	11	9
1hpc	4	0	11	1	14	0	0	3	3
3euo	17	0	32	0	29	5	1	12	3
1cei	0	0	14	0	0	0	0	2	3
1asb	44	0	62	0	10	0	0	17	12
3h65	12	0	67	1	10	14	5	6	6
5c94	11	0	11	2	14	1	0	2	0
2b18	3	0	33	0	4	0	0	2	5
1mk4	7	0	9	2	14	6	0	7	4
3f4d	22	0	26	0	0	10	0	10	7
1ang	5	0	0	1	14	1	0	1	1
1nxp	0	0	19	1	0	0	0	3	1
1am2	5	0	0	0	3	1	0	4	2
1ok9	11	0	0	1	18	0	0	7	3
5abr	7	0	0	0	16	0	0	7	2
4z04	15	0	5	1	36	3	0	6	2
3rzn	5	0	15	0	0	6	0	0	1
1bcg	6	0	14	0	7	0	2	1	2
4fum	4	0	0	1	10	0	0	2	1
5hke	24	0	27	4	21	3	0	13	12
4nak	0	0	0	0	0	0	0	0	0
2o4c	10	0	27	0	9	0	0	7	2
1c1f	11	0	0	2	30	0	0	4	1
2dfj	9	0	1	0	6	3	0	2	5
1a8l	10	0	13	0	4	3	0	7	6
1edt	11	0	3	0	13	3	0	13	5
1ai2	26	0	49	1	14	4	5	17	9
